"","Node1","Node2","Weight"
"30","Rothia_aeria","Leptotrichia_buccalis",1
"49","Butyrivibrio_hungatei","Actinomyces_odontolyticus",1
"126","Veillonella_dispar","Prevotella_pallens",1
"131","Actinomyces_odontolyticus","Prevotella_pallens",1
"151","Prevotella_baroniae","Treponema_denticola",1
"161","Eubacterium_saphenum","Eubacterium_brachy",1
"168","Prevotella_baroniae","Eubacterium_brachy",1
"179","Eubacterium_saphenum","Porphyromonas_endodontalis",1
"186","Prevotella_baroniae","Porphyromonas_endodontalis",1
"189","Treponema_denticola","Porphyromonas_endodontalis",1
"190","Eubacterium_brachy","Porphyromonas_endodontalis",1
"192","Rothia_aeria","Eubacterium_yurii",1
"227","Prevotella_pallens","Prevotella_shahii",1
"259","Veillonella_dispar","Prevotella_denticola",1
"261","Eubacterium_saphenum","Prevotella_denticola",1
"268","Prevotella_baroniae","Prevotella_denticola",1
"271","Treponema_denticola","Prevotella_denticola",1
"272","Eubacterium_brachy","Prevotella_denticola",1
"273","Porphyromonas_endodontalis","Prevotella_denticola",1
"342","Prevotella_pallens","Prevotella_scopos",1
"375","Prevotella_denticola","Actinomyces_oris",1
"424","Treponema_denticola","Dialister_invisus",1
"426","Porphyromonas_endodontalis","Dialister_invisus",1
"430","Prevotella_denticola","Dialister_invisus",1
"437","Rothia_aeria","Granulicatella_adiacens",1
"474","Leptotrichia_buccalis","Prevotella_enoeca",1
"480","Prevotella_baroniae","Prevotella_enoeca",1
"483","Treponema_denticola","Prevotella_enoeca",1
"489","Prevotella_denticola","Prevotella_enoeca",1
"495","Dialister_invisus","Prevotella_enoeca",1
"601","Veillonella_dispar","Lachnoanaerobaculum_orale",1
"606","Actinomyces_odontolyticus","Lachnoanaerobaculum_orale",1
"612","Prevotella_pallens","Lachnoanaerobaculum_orale",1
"677","Actinomyces_odontolyticus","Orientia_tsutsugamushi",1
"683","Prevotella_pallens","Orientia_tsutsugamushi",1
"797","Prevotella_pallens","Mogibacterium_diversum",1
"839","Eubacterium_brachy","Actinomyces_meyeri",1
"870","Leptotrichia_buccalis","Bergeyella_zoohelcum",1
"877","Capnocytophaga_leadbetteri","Bergeyella_zoohelcum",1
"882","Eubacterium_yurii","Bergeyella_zoohelcum",1
"952","Veillonella_dispar","Prevotella_salivae",1
"957","Actinomyces_odontolyticus","Prevotella_salivae",1
"963","Prevotella_pallens","Prevotella_salivae",1
"982","Lachnoanaerobaculum_orale","Prevotella_salivae",1
"984","Orientia_tsutsugamushi","Prevotella_salivae",1
"992","Rothia_aeria","Actinobaculum_massiliense",1
"999","Leptotrichia_buccalis","Actinobaculum_massiliense",1
"1089","Eubacterium_saphenum","Eubacterium_nodatum",1
"1096","Prevotella_baroniae","Eubacterium_nodatum",1
"1099","Treponema_denticola","Eubacterium_nodatum",1
"1100","Eubacterium_brachy","Eubacterium_nodatum",1
"1101","Porphyromonas_endodontalis","Eubacterium_nodatum",1
"1111","Dialister_invisus","Eubacterium_nodatum",1
"1113","Prevotella_enoeca","Eubacterium_nodatum",1
"1290","Prevotella_baroniae","Anaeroglobus_geminatus",1
"1299","Prevotella_denticola","Anaeroglobus_geminatus",1
"1305","Dialister_invisus","Anaeroglobus_geminatus",1
"1334","Eubacterium_saphenum","Olsenella_uli",1
"1345","Eubacterium_brachy","Olsenella_uli",1
"1346","Porphyromonas_endodontalis","Olsenella_uli",1
"1356","Dialister_invisus","Olsenella_uli",1
"1374","Eubacterium_nodatum","Olsenella_uli",1
"1378","Anaeroglobus_geminatus","Olsenella_uli",1
"1437","Veillonella_dispar","Prevotella_veroralis",1
"1448","Prevotella_pallens","Prevotella_veroralis",1
"1467","Lachnoanaerobaculum_orale","Prevotella_veroralis",1
"1476","Prevotella_salivae","Prevotella_veroralis",1
"1515","Dialister_invisus","Dialister_propionicifaciens",1
"1542","Rothia_aeria","Rothia_dentocariosa",1
"1546","Veillonella_dispar","Rothia_dentocariosa",1
"1568","Actinomyces_oris","Rothia_dentocariosa",1
"1611","Prevotella_baroniae","Mycoplasma_faucium",1
"1616","Porphyromonas_endodontalis","Mycoplasma_faucium",1
"1626","Dialister_invisus","Mycoplasma_faucium",1
"1838","Eubacterium_saphenum","Prevotella_dentalis",1
"1848","Treponema_denticola","Prevotella_dentalis",1
"1850","Porphyromonas_endodontalis","Prevotella_dentalis",1
"1854","Prevotella_denticola","Prevotella_dentalis",1
"1862","Prevotella_enoeca","Prevotella_dentalis",1
"1878","Eubacterium_nodatum","Prevotella_dentalis",1
"1883","Olsenella_uli","Prevotella_dentalis",1
"2046","Dialister_invisus","Peptococcus_niger",1
"2154","Leptotrichia_buccalis","Treponema_refringens",1
"2165","Porphyromonas_endodontalis","Treponema_refringens",1
"2166","Eubacterium_yurii","Treponema_refringens",1
"2167","Prevotella_shahii","Treponema_refringens",1
"2220","Leptotrichia_buccalis","Treponema_pedis",1
"2229","Treponema_denticola","Treponema_pedis",1
"2231","Porphyromonas_endodontalis","Treponema_pedis",1
"2241","Dialister_invisus","Treponema_pedis",1
"2243","Prevotella_enoeca","Treponema_pedis",1
"2259","Eubacterium_nodatum","Treponema_pedis",1
"2287","Leptotrichia_buccalis","Campylobacter_curvus",1
"2293","Prevotella_baroniae","Campylobacter_curvus",1
"2294","Capnocytophaga_leadbetteri","Campylobacter_curvus",1
"2302","Prevotella_denticola","Campylobacter_curvus",1
"2487","Rothia_aeria","Streptococcus_pneumoniae",1
"2565","Leptotrichia_buccalis","Schwartzia_succinivorans",1
"2580","Prevotella_denticola","Schwartzia_succinivorans",1
"2586","Dialister_invisus","Schwartzia_succinivorans",1
"2588","Prevotella_enoeca","Schwartzia_succinivorans",1
"2604","Eubacterium_nodatum","Schwartzia_succinivorans",1
"2608","Anaeroglobus_geminatus","Schwartzia_succinivorans",1
"2609","Olsenella_uli","Schwartzia_succinivorans",1
"2625","Campylobacter_curvus","Schwartzia_succinivorans",1
"2716","Prevotella_baroniae","Prevotella_marshii",1
"2719","Treponema_denticola","Prevotella_marshii",1
