"","Node1","Node2","Weight"
"30","Rothia_aeria","Leptotrichia_buccalis",1
"49","Butyrivibrio_hungatei","Actinomyces_odontolyticus",1
"51","Veillonella_dispar","Actinomyces_odontolyticus",1
"124","Butyrivibrio_hungatei","Prevotella_pallens",1
"126","Veillonella_dispar","Prevotella_pallens",1
"131","Actinomyces_odontolyticus","Prevotella_pallens",1
"151","Prevotella_baroniae","Treponema_denticola",1
"161","Eubacterium_saphenum","Eubacterium_brachy",1
"162","Leptotrichia_buccalis","Eubacterium_brachy",1
"168","Prevotella_baroniae","Eubacterium_brachy",1
"179","Eubacterium_saphenum","Porphyromonas_endodontalis",1
"186","Prevotella_baroniae","Porphyromonas_endodontalis",1
"189","Treponema_denticola","Porphyromonas_endodontalis",1
"190","Eubacterium_brachy","Porphyromonas_endodontalis",1
"227","Prevotella_pallens","Prevotella_shahii",1
"261","Eubacterium_saphenum","Prevotella_denticola",1
"262","Leptotrichia_buccalis","Prevotella_denticola",1
"268","Prevotella_baroniae","Prevotella_denticola",1
"271","Treponema_denticola","Prevotella_denticola",1
"272","Eubacterium_brachy","Prevotella_denticola",1
"273","Porphyromonas_endodontalis","Prevotella_denticola",1
"342","Prevotella_pallens","Prevotella_scopos",1
"375","Prevotella_denticola","Actinomyces_oris",1
"424","Treponema_denticola","Dialister_invisus",1
"425","Eubacterium_brachy","Dialister_invisus",1
"426","Porphyromonas_endodontalis","Dialister_invisus",1
"427","Eubacterium_yurii","Dialister_invisus",1
"430","Prevotella_denticola","Dialister_invisus",1
"480","Prevotella_baroniae","Prevotella_enoeca",1
"483","Treponema_denticola","Prevotella_enoeca",1
"484","Eubacterium_brachy","Prevotella_enoeca",1
"485","Porphyromonas_endodontalis","Prevotella_enoeca",1
"489","Prevotella_denticola","Prevotella_enoeca",1
"495","Dialister_invisus","Prevotella_enoeca",1
"601","Veillonella_dispar","Lachnoanaerobaculum_orale",1
"606","Actinomyces_odontolyticus","Lachnoanaerobaculum_orale",1
"612","Prevotella_pallens","Lachnoanaerobaculum_orale",1
"677","Actinomyces_odontolyticus","Orientia_tsutsugamushi",1
"683","Prevotella_pallens","Orientia_tsutsugamushi",1
"797","Prevotella_pallens","Mogibacterium_diversum",1
"828","Eubacterium_saphenum","Actinomyces_meyeri",1
"839","Eubacterium_brachy","Actinomyces_meyeri",1
"850","Dialister_invisus","Actinomyces_meyeri",1
"877","Capnocytophaga_leadbetteri","Bergeyella_zoohelcum",1
"948","Rothia_aeria","Prevotella_salivae",-1
"952","Veillonella_dispar","Prevotella_salivae",1
"957","Actinomyces_odontolyticus","Prevotella_salivae",1
"962","Capnocytophaga_leadbetteri","Prevotella_salivae",-1
"963","Prevotella_pallens","Prevotella_salivae",1
"970","Prevotella_denticola","Prevotella_salivae",1
"982","Lachnoanaerobaculum_orale","Prevotella_salivae",1
"984","Orientia_tsutsugamushi","Prevotella_salivae",1
"999","Leptotrichia_buccalis","Actinobaculum_massiliense",1
"1096","Prevotella_baroniae","Eubacterium_nodatum",1
"1099","Treponema_denticola","Eubacterium_nodatum",1
"1100","Eubacterium_brachy","Eubacterium_nodatum",1
"1101","Porphyromonas_endodontalis","Eubacterium_nodatum",1
"1111","Dialister_invisus","Eubacterium_nodatum",1
"1113","Prevotella_enoeca","Eubacterium_nodatum",1
"1290","Prevotella_baroniae","Anaeroglobus_geminatus",1
"1295","Porphyromonas_endodontalis","Anaeroglobus_geminatus",1
"1299","Prevotella_denticola","Anaeroglobus_geminatus",1
"1323","Eubacterium_nodatum","Anaeroglobus_geminatus",1
"1334","Eubacterium_saphenum","Olsenella_uli",1
"1344","Treponema_denticola","Olsenella_uli",1
"1345","Eubacterium_brachy","Olsenella_uli",1
"1346","Porphyromonas_endodontalis","Olsenella_uli",1
"1356","Dialister_invisus","Olsenella_uli",1
"1358","Prevotella_enoeca","Olsenella_uli",1
"1374","Eubacterium_nodatum","Olsenella_uli",1
"1378","Anaeroglobus_geminatus","Olsenella_uli",1
"1437","Veillonella_dispar","Prevotella_veroralis",1
"1448","Prevotella_pallens","Prevotella_veroralis",1
"1467","Lachnoanaerobaculum_orale","Prevotella_veroralis",1
"1476","Prevotella_salivae","Prevotella_veroralis",1
"1515","Dialister_invisus","Dialister_propionicifaciens",1
"1542","Rothia_aeria","Rothia_dentocariosa",1
"1546","Veillonella_dispar","Rothia_dentocariosa",1
"1568","Actinomyces_oris","Rothia_dentocariosa",1
"1611","Prevotella_baroniae","Mycoplasma_faucium",1
"1616","Porphyromonas_endodontalis","Mycoplasma_faucium",1
"1626","Dialister_invisus","Mycoplasma_faucium",1
"1838","Eubacterium_saphenum","Prevotella_dentalis",1
"1848","Treponema_denticola","Prevotella_dentalis",1
"1850","Porphyromonas_endodontalis","Prevotella_dentalis",1
"1854","Prevotella_denticola","Prevotella_dentalis",1
"1878","Eubacterium_nodatum","Prevotella_dentalis",1
"1883","Olsenella_uli","Prevotella_dentalis",1
"1888","Mycoplasma_faucium","Prevotella_dentalis",1
"2034","Treponema_denticola","Peptococcus_niger",1
"2046","Dialister_invisus","Peptococcus_niger",1
"2064","Eubacterium_nodatum","Peptococcus_niger",1
"2167","Prevotella_shahii","Treponema_refringens",1
"2210","Peptococcus_niger","Treponema_refringens",1
"2226","Prevotella_baroniae","Treponema_pedis",1
"2229","Treponema_denticola","Treponema_pedis",1
"2231","Porphyromonas_endodontalis","Treponema_pedis",1
"2235","Prevotella_denticola","Treponema_pedis",1
"2241","Dialister_invisus","Treponema_pedis",1
"2243","Prevotella_enoeca","Treponema_pedis",1
"2259","Eubacterium_nodatum","Treponema_pedis",1
"2302","Prevotella_denticola","Campylobacter_curvus",1
"2487","Rothia_aeria","Streptococcus_pneumoniae",1
"2542","Rothia_dentocariosa","Streptococcus_pneumoniae",1
"2565","Leptotrichia_buccalis","Schwartzia_succinivorans",1
"2571","Prevotella_baroniae","Schwartzia_succinivorans",1
"2576","Porphyromonas_endodontalis","Schwartzia_succinivorans",1
"2580","Prevotella_denticola","Schwartzia_succinivorans",1
