"","Node1","Node2","Weight"
"15","Streptococcus_vestibularis","Veillonella_dispar",1
"30","Rothia_aeria","Leptotrichia_buccalis",1
"49","Butyrivibrio_hungatei","Actinomyces_odontolyticus",1
"51","Veillonella_dispar","Actinomyces_odontolyticus",1
"80","Rothia_aeria","Neisseria_sicca",1
"100","Leptotrichia_buccalis","Prevotella_baroniae",1
"106","Veillonella_rogosae","Capnocytophaga_leadbetteri",1
"114","Leptotrichia_buccalis","Capnocytophaga_leadbetteri",1
"124","Butyrivibrio_hungatei","Prevotella_pallens",1
"126","Veillonella_dispar","Prevotella_pallens",1
"131","Actinomyces_odontolyticus","Prevotella_pallens",1
"138","Rothia_aeria","Treponema_denticola",1
"145","Leptotrichia_buccalis","Treponema_denticola",1
"148","Bradyrhizobium_elkanii","Treponema_denticola",1
"151","Prevotella_baroniae","Treponema_denticola",1
"152","Capnocytophaga_leadbetteri","Treponema_denticola",1
"161","Eubacterium_saphenum","Eubacterium_brachy",1
"162","Leptotrichia_buccalis","Eubacterium_brachy",1
"168","Prevotella_baroniae","Eubacterium_brachy",1
"179","Eubacterium_saphenum","Porphyromonas_endodontalis",1
"180","Leptotrichia_buccalis","Porphyromonas_endodontalis",1
"186","Prevotella_baroniae","Porphyromonas_endodontalis",1
"187","Capnocytophaga_leadbetteri","Porphyromonas_endodontalis",1
"189","Treponema_denticola","Porphyromonas_endodontalis",1
"190","Eubacterium_brachy","Porphyromonas_endodontalis",1
"191","Veillonella_rogosae","Eubacterium_yurii",1
"192","Rothia_aeria","Eubacterium_yurii",1
"196","Veillonella_dispar","Eubacterium_yurii",-1
"197","Acinetobacter_johnsonii","Eubacterium_yurii",1
"199","Leptotrichia_buccalis","Eubacterium_yurii",1
"203","Neisseria_cinerea","Eubacterium_yurii",1
"206","Capnocytophaga_leadbetteri","Eubacterium_yurii",1
"208","Treponema_denticola","Eubacterium_yurii",1
"209","Eubacterium_brachy","Eubacterium_yurii",1
"210","Porphyromonas_endodontalis","Eubacterium_yurii",1
"211","Veillonella_rogosae","Prevotella_shahii",1
"214","Butyrivibrio_hungatei","Prevotella_shahii",1
"216","Veillonella_dispar","Prevotella_shahii",-1
"219","Leptotrichia_buccalis","Prevotella_shahii",1
"223","Neisseria_cinerea","Prevotella_shahii",1
"226","Capnocytophaga_leadbetteri","Prevotella_shahii",1
"227","Prevotella_pallens","Prevotella_shahii",1
"231","Eubacterium_yurii","Prevotella_shahii",1
"237","Veillonella_dispar","Actinomyces_howellii",1
"242","Actinomyces_odontolyticus","Actinomyces_howellii",1
"246","Prevotella_baroniae","Actinomyces_howellii",1
"261","Eubacterium_saphenum","Prevotella_denticola",1
"262","Leptotrichia_buccalis","Prevotella_denticola",1
"268","Prevotella_baroniae","Prevotella_denticola",1
"271","Treponema_denticola","Prevotella_denticola",1
"272","Eubacterium_brachy","Prevotella_denticola",1
"273","Porphyromonas_endodontalis","Prevotella_denticola",1
"301","Veillonella_rogosae","Haemophilus_haemoglobinophilus",1
"316","Capnocytophaga_leadbetteri","Haemophilus_haemoglobinophilus",1
"336","Actinomyces_odontolyticus","Prevotella_scopos",1
"342","Prevotella_pallens","Prevotella_scopos",1
"347","Prevotella_shahii","Prevotella_scopos",1
"374","Actinomyces_howellii","Actinomyces_oris",1
"375","Prevotella_denticola","Actinomyces_oris",1
"388","Clostridium_ruminantium","Megasphaera_elsdenii",1
"402","Prevotella_denticola","Megasphaera_elsdenii",1
"411","Streptococcus_vestibularis","Dialister_invisus",1
"412","Veillonella_dispar","Dialister_invisus",1
"414","Eubacterium_saphenum","Dialister_invisus",1
"415","Leptotrichia_buccalis","Dialister_invisus",1
"418","Bradyrhizobium_elkanii","Dialister_invisus",1
"421","Prevotella_baroniae","Dialister_invisus",1
"424","Treponema_denticola","Dialister_invisus",1
"425","Eubacterium_brachy","Dialister_invisus",1
"426","Porphyromonas_endodontalis","Dialister_invisus",1
"427","Eubacterium_yurii","Dialister_invisus",1
"429","Actinomyces_howellii","Dialister_invisus",1
"430","Prevotella_denticola","Dialister_invisus",1
"434","Actinomyces_oris","Dialister_invisus",1
"435","Megasphaera_elsdenii","Dialister_invisus",1
"437","Rothia_aeria","Granulicatella_adiacens",1
"473","Eubacterium_saphenum","Prevotella_enoeca",1
"474","Leptotrichia_buccalis","Prevotella_enoeca",1
"480","Prevotella_baroniae","Prevotella_enoeca",1
"483","Treponema_denticola","Prevotella_enoeca",1
"484","Eubacterium_brachy","Prevotella_enoeca",1
"485","Porphyromonas_endodontalis","Prevotella_enoeca",1
"486","Eubacterium_yurii","Prevotella_enoeca",1
"489","Prevotella_denticola","Prevotella_enoeca",1
"492","Prevotella_scopos","Prevotella_enoeca",1
"495","Dialister_invisus","Prevotella_enoeca",1
"501","Streptococcus_vestibularis","Streptococcus_cristatus",1
"519","Actinomyces_howellii","Streptococcus_cristatus",1
"527","Granulicatella_adiacens","Streptococcus_cristatus",1
"536","Eubacterium_saphenum","Veillonella_montpellierensis",1
"543","Prevotella_baroniae","Veillonella_montpellierensis",1
"546","Treponema_denticola","Veillonella_montpellierensis",1
"548","Porphyromonas_endodontalis","Veillonella_montpellierensis",1
"552","Prevotella_denticola","Veillonella_montpellierensis",1
"555","Prevotella_scopos","Veillonella_montpellierensis",1
"558","Dialister_invisus","Veillonella_montpellierensis",1
"569","Eubacterium_saphenum","Moraxella_lacunata",1
"570","Leptotrichia_buccalis","Moraxella_lacunata",1
"575","Neisseria_sicca","Moraxella_lacunata",1
"577","Capnocytophaga_leadbetteri","Moraxella_lacunata",1
"579","Treponema_denticola","Moraxella_lacunata",1
"580","Eubacterium_brachy","Moraxella_lacunata",1
"581","Porphyromonas_endodontalis","Moraxella_lacunata",1
"593","Prevotella_enoeca","Moraxella_lacunata",1
"595","Veillonella_montpellierensis","Moraxella_lacunata",1
"599","Butyrivibrio_hungatei","Lachnoanaerobaculum_orale",1
"601","Veillonella_dispar","Lachnoanaerobaculum_orale",1
"606","Actinomyces_odontolyticus","Lachnoanaerobaculum_orale",1
"612","Prevotella_pallens","Lachnoanaerobaculum_orale",1
"677","Actinomyces_odontolyticus","Orientia_tsutsugamushi",1
"683","Prevotella_pallens","Orientia_tsutsugamushi",1
"688","Prevotella_shahii","Orientia_tsutsugamushi",1
"696","Dialister_invisus","Orientia_tsutsugamushi",1
"702","Lachnoanaerobaculum_orale","Orientia_tsutsugamushi",1
"704","Veillonella_rogosae","Terrahaemophilus_aromaticivorans",1
"705","Rothia_aeria","Terrahaemophilus_aromaticivorans",1
"750","Leptotrichia_buccalis","Propionigenium_maris",1
"752","Actinomyces_odontolyticus","Propionigenium_maris",1
"758","Prevotella_pallens","Propionigenium_maris",1
"777","Lachnoanaerobaculum_orale","Propionigenium_maris",1
"797","Prevotella_pallens","Mogibacterium_diversum",1
"816","Lachnoanaerobaculum_orale","Mogibacterium_diversum",1
"828","Eubacterium_saphenum","Actinomyces_meyeri",1
"838","Treponema_denticola","Actinomyces_meyeri",1
"839","Eubacterium_brachy","Actinomyces_meyeri",1
"840","Porphyromonas_endodontalis","Actinomyces_meyeri",1
"841","Eubacterium_yurii","Actinomyces_meyeri",1
"843","Actinomyces_howellii","Actinomyces_meyeri",1
"844","Prevotella_denticola","Actinomyces_meyeri",1
"850","Dialister_invisus","Actinomyces_meyeri",1
"863","Rothia_aeria","Bergeyella_zoohelcum",1
"870","Leptotrichia_buccalis","Bergeyella_zoohelcum",1
"877","Capnocytophaga_leadbetteri","Bergeyella_zoohelcum",1
"881","Porphyromonas_endodontalis","Bergeyella_zoohelcum",1
"885","Prevotella_denticola","Bergeyella_zoohelcum",1
"891","Dialister_invisus","Bergeyella_zoohelcum",1
"893","Prevotella_enoeca","Bergeyella_zoohelcum",1
"894","Streptococcus_cristatus","Bergeyella_zoohelcum",1
"905","Rothia_aeria","Actinomyces_bowdenii",1
"912","Leptotrichia_buccalis","Actinomyces_bowdenii",1
"919","Capnocytophaga_leadbetteri","Actinomyces_bowdenii",1
"921","Treponema_denticola","Actinomyces_bowdenii",1
"922","Eubacterium_brachy","Actinomyces_bowdenii",1
"927","Prevotella_denticola","Actinomyces_bowdenii",1
"931","Actinomyces_oris","Actinomyces_bowdenii",1
"933","Dialister_invisus","Actinomyces_bowdenii",1
"936","Streptococcus_cristatus","Actinomyces_bowdenii",1
"945","Actinomyces_meyeri","Actinomyces_bowdenii",1
"948","Rothia_aeria","Prevotella_salivae",-1
"950","Butyrivibrio_hungatei","Prevotella_salivae",1
"952","Veillonella_dispar","Prevotella_salivae",1
"957","Actinomyces_odontolyticus","Prevotella_salivae",1
"962","Capnocytophaga_leadbetteri","Prevotella_salivae",-1
"963","Prevotella_pallens","Prevotella_salivae",1
"967","Eubacterium_yurii","Prevotella_salivae",-1
"969","Actinomyces_howellii","Prevotella_salivae",1
"970","Prevotella_denticola","Prevotella_salivae",1
"973","Prevotella_scopos","Prevotella_salivae",1
"982","Lachnoanaerobaculum_orale","Prevotella_salivae",1
"984","Orientia_tsutsugamushi","Prevotella_salivae",1
"986","Propionigenium_maris","Prevotella_salivae",1
"987","Mogibacterium_diversum","Prevotella_salivae",1
"992","Rothia_aeria","Actinobaculum_massiliense",1
"996","Veillonella_dispar","Actinobaculum_massiliense",1
"998","Eubacterium_saphenum","Actinobaculum_massiliense",1
"999","Leptotrichia_buccalis","Actinobaculum_massiliense",1
"1001","Actinomyces_odontolyticus","Actinobaculum_massiliense",1
"1005","Prevotella_baroniae","Actinobaculum_massiliense",1
"1006","Capnocytophaga_leadbetteri","Actinobaculum_massiliense",1
"1008","Treponema_denticola","Actinobaculum_massiliense",1
"1009","Eubacterium_brachy","Actinobaculum_massiliense",1
"1010","Porphyromonas_endodontalis","Actinobaculum_massiliense",1
"1020","Dialister_invisus","Actinobaculum_massiliense",1
"1033","Bergeyella_zoohelcum","Actinobaculum_massiliense",1
"1037","Rothia_aeria","Mannheimia_granulomatis",1
"1038","Aggregatibacter_actinomycetemcomitans","Mannheimia_granulomatis",1
"1044","Leptotrichia_buccalis","Mannheimia_granulomatis",1
"1050","Prevotella_baroniae","Mannheimia_granulomatis",1
"1051","Capnocytophaga_leadbetteri","Mannheimia_granulomatis",1
"1053","Treponema_denticola","Mannheimia_granulomatis",1
"1055","Porphyromonas_endodontalis","Mannheimia_granulomatis",1
