"","ZhangX_2015","SantosA_2021","HavsedK_2021","JulianM_2017_exposure","ChenC_2018","XiaoC_2016","ChenC_2018_exposure","ZhengH_2015","GalimanasV_2014","JiangW_2015","ProctorD_2018","NajmanovaL_2021","YuG_2016","YuG_2016_exposure","CaselliE_2020","ShaiberA_2020a","PangL_2021","HMP_2012","ShaiberA_2020b","ZhangY_2022","FerrerM_2020"
"Streptococcus_sanguinis",0,1,1,1,1,0,1,1,0,0,1,1,0,0,0,1,1,1,1,1,1
"Fusobacterium_nucleatum",1,0,1,1,1,1,0,0,1,1,1,0,0,0,0,1,0,1,1,1,1
"Rothia_dentocariosa",0,1,1,1,1,0,1,0,0,0,1,0,0,0,0,1,1,1,1,1,1
"Rothia_aeria",1,0,0,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,0,1,1
"Porphyromonas_catoniae",0,1,0,1,1,0,1,0,0,1,1,0,0,0,0,1,1,1,0,1,1
"Cardiobacterium_hominis",0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1
"Capnocytophaga_gingivalis",1,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1,1,1,1,1,1
"Selenomonas_sputigena",1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1
"Capnocytophaga_sputigena",0,1,0,1,1,0,0,1,0,0,1,1,0,0,0,0,1,1,0,1,1
"Neisseria_elongata",0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,1,1,0,1,1,1
"Campylobacter_gracilis",1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1
"Eikenella_corrodens",0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,1,1,1,1,0,1
"Actinomyces_massiliensis",0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0,1,1,1,1
"Corynebacterium_durum",1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,1
