"","AndersonA_2013","GalimanasV_2014","LenartovaM_2021","MarotzC_2022Su","MonteiroM_2021","CaselliE_2020","GanesanS_2020_exposure","GanesanS_2020","GhensiP_2019","BelstromD_2021","ShoerS_2023"
"Rothia_aeria",0,0,1,1,1,1,0,0,0,0,0
"Aggregatibacter_actinomycetemcomitans",0,0,0,0,0,0,0,0,0,0,0
"Streptococcus_vestibularis",0,0,0,0,0,0,0,0,0,0,0
"Veillonella_dispar",0,0,1,0,1,0,0,0,0,0,0
"Eubacterium_saphenum",0,0,0,0,0,0,0,0,0,0,0
"Leptotrichia_buccalis",0,0,0,1,0,0,0,0,0,0,0
"Actinomyces_odontolyticus",0,1,1,0,1,0,0,0,0,0,0
"Neisseria_sicca",0,0,0,0,0,0,0,0,0,0,0
"Prevotella_baroniae",0,0,0,0,0,0,0,0,0,0,0
"Capnocytophaga_leadbetteri",0,1,1,0,1,0,0,0,0,1,1
"Prevotella_pallens",0,0,0,0,0,0,0,0,0,0,0
"Treponema_denticola",0,0,0,1,1,0,0,0,0,0,0
"Eubacterium_brachy",0,0,0,1,1,0,1,0,0,1,1
"Porphyromonas_endodontalis",0,1,0,1,1,0,0,0,0,0,1
"Eubacterium_yurii",0,0,0,1,1,0,0,0,0,0,0
"Prevotella_shahii",0,0,0,0,1,0,0,0,0,0,0
"Prevotella_denticola",0,1,0,0,0,0,0,0,0,0,1
"Prevotella_scopos",0,0,0,0,0,0,0,0,0,0,0
"Actinomyces_oris",0,1,0,0,1,1,1,1,0,1,1
"Dialister_invisus",0,0,0,1,0,0,0,0,0,0,1
"Granulicatella_adiacens",0,0,0,1,1,0,0,0,0,0,0
"Prevotella_enoeca",0,0,0,0,0,0,0,0,0,0,0
"Streptococcus_cristatus",0,0,0,0,1,0,0,0,0,1,0
"Mogibacterium_diversum",0,0,0,0,0,0,0,0,0,0,0
"Actinomyces_meyeri",0,0,0,0,0,0,0,0,0,0,0
"Prevotella_salivae",0,0,0,1,0,0,0,0,0,0,0
"Eubacterium_nodatum",0,0,0,0,0,0,0,0,0,0,0
"Anaeroglobus_geminatus",0,0,0,1,0,0,0,0,0,0,0
"Olsenella_uli",0,0,0,0,0,0,0,0,0,0,0
"Prevotella_veroralis",0,0,0,1,0,0,0,0,0,0,0
"Rothia_dentocariosa",1,1,1,1,1,1,1,1,1,1,0
"Prevotella_dentalis",0,0,0,0,0,0,0,0,0,0,0
"Campylobacter_curvus",0,0,0,0,0,0,0,0,0,0,0
"Prevotella_marshii",0,0,0,0,0,0,0,0,0,0,0
"Lautropia_mirabilis",1,1,1,1,1,0,0,0,0,0,0
"Actinomyces_gerencseriae",0,0,0,0,0,0,0,0,0,0,0
"Selenomonas_noxia",0,0,0,1,0,0,0,0,0,0,0
