"","JulianM_2017","StehlikovaZ_2019"
"Veillonella_rogosae",-1,NA
"Rothia_aeria",-1,NA
"Aggregatibacter_actinomycetemcomitans",-3,NA
"Veillonella_dispar",1,NA
"Eubacterium_saphenum",1,NA
"Leptotrichia_buccalis",-1,NA
"Actinomyces_odontolyticus",1,NA
"Prevotella_baroniae",-1,NA
"Capnocytophaga_leadbetteri",-3,NA
"Prevotella_pallens",-1,NA
"Treponema_denticola",1,NA
"Eubacterium_brachy",3,NA
"Porphyromonas_endodontalis",-1,NA
"Eubacterium_yurii",-1,NA
"Prevotella_shahii",3,NA
"Prevotella_denticola",-1,NA
"Actinomyces_oris",1,NA
"Dialister_invisus",-1,NA
"Granulicatella_adiacens",-1,NA
"Prevotella_enoeca",3,NA
"Streptococcus_cristatus",1,NA
"Lachnoanaerobaculum_orale",1,NA
"Actinomyces_meyeri",1,NA
"Prevotella_salivae",1,NA
"Actinobaculum_massiliense",-1,NA
"Eubacterium_nodatum",-1,NA
"Planobacterium_taklimakanense",-1,NA
"Anaeroglobus_geminatus",2,NA
"Olsenella_uli",-1,NA
"Prevotella_veroralis",1,NA
"Rothia_dentocariosa",-1,NA
"Peptococcus_niger",3,NA
"Streptococcus_pneumoniae",1,NA
"Schwartzia_succinivorans",-1,NA
"Lautropia_mirabilis",-2,NA
"Actinobacillus_rossii",-1,NA
"Actinomyces_gerencseriae",-1,NA
"Neisseria_shayeganii",-1,NA
"Selenomonas_noxia",1,NA
"Haemophilus_parainfluenzae",-1,NA
"Porphyromonas_gingivalis",1,NA
"Filifactor_alocis",1,NA
"Rothia_mucilaginosa",-1,NA
"Lachnoanaerobaculum_saburreum",1,NA
"Streptococcus_gordonii",1,NA
"Leptotrichia_hofstadii",2,NA
"Streptococcus_sanguinis",-3,NA
"Fusobacterium_periodonticum",-1,NA
"Campylobacter_showae",-1,NA
"Tannerella_forsythia",1,NA
"Capnocytophaga_granulosa",-1,NA
"Neisseria_oralis",-1,NA
"Leptotrichia_hongkongensis",-1,NA
"Gemella_haemolysans",1,NA
"Actinomyces_viscosus",-1,NA
"Streptococcus_oralis",2,NA
"Cardiobacterium_valvarum",-1,NA
"Prevotella_pleuritidis",-1,NA
"Eubacterium_sulci",2,NA
"Streptococcus_parasanguinis",-1,NA
